datum;locatie;eenheid;parameterid;afronding;analyse;compartiment;veldapparaat;grootheid;confertaxon;biotaxonnaam;parameter;eenheidequivalent;eenheidreferentie;parameterfractie;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;waardebewerkingsmethode;analyseprotocol;bemonsteringsprotocol;analist;monsterident;bemonsteringssoort;planvanaanpak;externereferentie;xcoormonster;ycoormonster;monsternemer;bron;kwaliteitsoordeel;opmerkingmeting;meetwaarde;limietsymbool
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_fluo;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;18.4;
2020-03-10 11:07:00;PMW077;ug/l;CHLFa_ug/l_fluo;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3220;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;18.4;
2020-03-10 11:12:00;PMW067;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;8;
2020-03-10 11:12:00;PMW067;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;8.49;
2020-03-10 11:12:00;PMW067;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;8.6;
2020-03-10 11:12:00;PMW067;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;8.6;
2020-03-10 11:12:00;PMW067;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;0.6;
2020-03-10 11:12:00;PMW067;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;0.6;
2020-03-10 11:12:00;PMW067;ug/l;CHLFa_ug/l_groenalg;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;groenalg;;;;;;;MET;A3220;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;16.9;
2020-03-10 11:12:00;PMW067;ug/l;CHLFa_ug/l_groenalg;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;groenalg;;;;;;;MET;A3220;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;16.9;
2020-03-10 11:12:00;PMW067;ug/l;CHLFa_ug/l_cryptofy;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;cryptofy;;;;;;;MET;A3220;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;4.6;
2020-03-10 11:12:00;PMW067;ug/l;CHLFa_ug/l_cryptofy;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;cryptofy;;;;;;;MET;A3220;;WP;WP580304;SB;;580304;135291;462256;WP;FC20200322210204_580304.txt;0;;4.6;
